S;BKE022508SES00000003;BKE022508INV00000006;43000;BKE02;0;0;1;17CR2V152/6A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;44000;BKE02;0;0;1;17CR2V15ANB60GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;45000;BKE02;0;0;1;17CR2V15ANGH25GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;46000;BKE02;0;0;1;17CR2V15B40A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;47000;BKE02;0;0;1;17CR2V15B40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;48000;BKE02;0;0;1;17CR2V15B60GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;49000;BKE02;0;0;1;17CR2V15B80GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;50000;BKE02;0;0;1;17CR2V15GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;51000;BKE02;0;0;1;17CR2V15H25GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;52000;BKE02;0;0;1;17CR2V202/6A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;53000;BKE02;0;0;1;17CR2V20ANG2/6GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;54000;BKE02;0;0;1;17CR2V20ANGA650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;55000;BKE02;0;0;1;17CR2V20ANGGAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;56000;BKE02;0;0;1;17CR2V20B120GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;57000;BKE02;0;0;1;17CR2V20B20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;58000;BKE02;0;0;1;17CR2V20B40A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;59000;BKE02;0;0;1;17CR2V20B40ANGGAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;60000;BKE02;0;0;1;17CR2V20B40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;61000;BKE02;0;0;1;17CR2V20B60GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;62000;BKE02;0;0;1;17CR2V20B80GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;63000;BKE02;0;0;1;17CR2V20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;64000;BKE02;0;0;1;17PL06GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;65000;BKE02;0;0;1;17PL07GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;66000;BKE02;0;0;1;17PL10GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;67000;BKE02;0;0;1;17PL10X20X50B80GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;68000;BKE02;0;0;1;17PL10X20X50GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;69000;BKE02;0;0;1;17PL152/6A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;70000;BKE02;0;0;1;17PL15A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;71000;BKE02;0;0;1;17PL15B120GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;72000;BKE02;0;0;1;17PL15B80GAM;;A;UN;485;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;73000;BKE02;0;0;1;17PL15GAM;;A;UN;434;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;74000;BKE02;0;0;1;17PL15L40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;75000;BKE02;0;0;1;17PL15L50GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;76000;BKE02;0;0;1;17PL202/6A65040GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;77000;BKE02;0;0;1;17PL202/6A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;78000;BKE02;0;0;1;17PL20B120GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;79000;BKE02;0;0;1;17PL20B40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;80000;BKE02;0;0;1;17PL20B60GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;81000;BKE02;0;0;1;17PL20B80A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;82000;BKE02;0;0;1;17PL20B80GAM;;A;UN;626,22618;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;83000;BKE02;0;0;1;17PL20GAM;;A;UN;545;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;84000;BKE02;0;0;1;17PL20L40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;85000;BKE02;0;0;1;21HALP202/6A530GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;86000;BKE02;0;0;1;21HALPH07GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;87000;BKE02;0;0;1;21HALPH12A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;88000;BKE02;0;0;1;21HALPH12GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;89000;BKE02;0;0;1;21HALPH16A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;90000;BKE02;0;0;1;21HALPH16GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;91000;BKE02;0;0;1;21HALPH16L53GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;92000;BKE02;0;0;1;21HALPH20A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;93000;BKE02;0;0;1;21HALPH20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;94000;BKE02;0;0;1;21HALPH252/6GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;95000;BKE02;0;0;1;21HALPH25GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;96000;BKE02;0;0;1;21HALPH30GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;97000;BKE02;0;0;1;22NV200GAM;;A;M;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;98000;BKE02;0;0;1;22NV235GAM;;A;M;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;99000;BKE02;0;0;1;22NV280GAM;;A;ML;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;100000;BKE02;0;0;1;22NV330GAM;;A;ML;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;101000;BKE02;0;0;1;22NV335GAM;;A;M;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;102000;BKE02;0;0;1;22NV350GAM;;A;ML;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;103000;BKE02;0;0;1;22NV355GAM;;A;ML;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;104000;BKE02;0;0;1;22NV400GAM;;A;ML;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;105000;BKE02;0;0;1;22NV455GAM;;A;ML;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;106000;BKE02;0;0;1;22NV460GAM;;A;ML;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;107000;BKE02;0;0;1;22NV480GAM;;A;ML;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;108000;BKE02;0;0;1;22NV525GAM;;A;ML;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;109000;BKE02;0;0;1;22NV545GAM;;A;ML;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;110000;BKE02;0;0;1;22NV610GAM;;A;ML;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;111000;BKE02;0;0;1;22NV675GAM;;A;ML;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;112000;BKE02;0;0;1;22NV680GAM;;A;ML;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;113000;BKE02;0;0;1;22NV685GAM;;A;ML;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;114000;BKE02;0;0;1;22NV700A/BGAM;;A;ML;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;115000;BKE02;0;0;1;22NV750GAM;;A;ML;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;116000;BKE02;0;0;1;23HT15A650GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;117000;BKE02;0;0;1;23HT15GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;118000;BKE02;0;0;1;23HT20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;119000;BKE02;0;0;1;26ASSIN10X20X40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;120000;BKE02;0;0;1;26CH40X50X202/6GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;121000;BKE02;0;0;1;26CH40X50X20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;122000;BKE02;0;0;1;26CH40X50X20GDRGAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;123000;BKE02;0;0;1;26CL30X30X15T1GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;124000;BKE02;0;0;1;26CL30X30X15T2GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;125000;BKE02;0;0;1;26CL30X30X15T3GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;126000;BKE02;0;0;1;26CL58X30X16NZIGAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;127000;BKE02;0;0;1;26LZ15X15X15GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;128000;BKE02;0;0;1;26LZ15X15X15GDRGAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;129000;BKE02;0;0;1;26LZ15X20X50GAM;;A;UN;265;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;130000;BKE02;0;0;1;26LZ20X20X20GAM;;A;UN;216;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;131000;BKE02;0;0;1;26LZ20X20X25GAM;;A;UN;0;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;132000;BKE02;0;0;1;26LZ20X20X40GAM;;A;UN;471;BKE2;
S;BKE022508SES00000003;BKE022508INV00000006;133000;BKE02;0;0;1;26LZ20X20X50GAM;;A;UN;435;BKE2;
